2017-12-09 18:54:54 startup archives install
2017-12-09 18:54:55 install base-passwd:armhf <none> 3.5.43
2017-12-09 18:54:55 status half-installed base-passwd:armhf 3.5.43
2017-12-09 18:54:56 status unpacked base-passwd:armhf 3.5.43
2017-12-09 18:54:56 status unpacked base-passwd:armhf 3.5.43
2017-12-09 18:54:56 configure base-passwd:armhf 3.5.43 3.5.43
2017-12-09 18:54:56 status unpacked base-passwd:armhf 3.5.43
2017-12-09 18:54:56 status half-configured base-passwd:armhf 3.5.43
2017-12-09 18:54:56 status installed base-passwd:armhf 3.5.43
2017-12-09 18:54:57 startup archives install
2017-12-09 18:54:57 install base-files:armhf <none> 9.9+deb9u3
2017-12-09 18:54:57 status half-installed base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 configure base-files:armhf 9.9+deb9u3 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status unpacked base-files:armhf 9.9+deb9u3
2017-12-09 18:54:57 status half-configured base-files:armhf 9.9+deb9u3
2017-12-09 18:54:58 status installed base-files:armhf 9.9+deb9u3
2017-12-09 18:54:58 startup archives install
2017-12-09 18:54:58 upgrade dpkg 1.18.24 1.18.24
2017-12-09 18:54:58 status half-configured dpkg 1.18.24
2017-12-09 18:54:58 status unpacked dpkg 1.18.24
2017-12-09 18:54:58 status half-installed dpkg 1.18.24
2017-12-09 18:54:59 status half-installed dpkg 1.18.24
